source,date,text_raw,Likes
x_twitter,"oct. 16, 2025","if you’re one of the bums who uses a bot to get shoes so you can profit off people who just want to wear a shoe you’re the worst type of person. Wanted these 
@Nike
 x 
@LEVIS
 shoes so bad, but cuz of yall they sold out in under a minute lmfao BUMS",0
x_twitter,"mars 28, 2025","Hello 
@Nike
 I bought your Mamba Mentality jacket few days ago, probably the most expensive clothe I have bought from you and the worst ended one… I had to take out 20 thread, looks so bad done Im pissed enough to write this tweet",0
x_twitter,"mars 6, 2025","Be thankful for all the things in life. Even for the bad things. Sometimes the worst situations in life turn out to be the best things that ever happened to us.
 Happy Thursday 
#marchMAXness
@hisexcellence79

@Nike
 
@nikestore",119
x_twitter,"févr. 9, 2025","As soon as I saw the 
@Nike
 Women In Sports commercial I said the best commercial of the night.
When the Snoop and Brady one came on saying it's sad/bad whatever has to make one about hate automatically, worst of the night. Guy who spreads hate is their guy.┐⁠(⁠ ⁠∵⁠ ⁠)⁠┌",0
x_twitter,"oct. 21, 2024","I thought that there could be no level of Bad that beat the 
@Nike
 Swoosh being on the front of 
@MLB
 Jerseys instead of on both sleeves. 

I can't believe how wrong I was. 

This is the worst World Series Patch placement I could possibly imagine.
#WorldSeries",0
x_twitter,"mars 18, 2026","One of the toughest 🔥 shirts 
@Nike
 
@MLB
 ⚾️",0
x_twitter,"mars 18, 2026","I didn’t realize that the red panel was suede!  I love these even more!! Keep it up 
@Nike",0
x_twitter,"mars 18, 2026","Someone tell 
@Nike
 I need a new pair size 15 I think I done got my moneys worth out of these bad boys . I can say they are comfortable work shoes .",0
x_twitter,"mars 18, 2026","New shoe heat for the postseason 🔥

Thanks, 
@Nike",0
x_twitter,"mars 18, 2026","It's hard 
@CBF_Futebol
, it's hard 
@Nike
 to make a shirt like this?  
Fuck, you guys study to make shit.",0
x_twitter,"mars 18, 2026","Hi everybody, let's make 
@Nike
 
@nikestore
 
@nikelondon
 
@usnikefootball
 
@NikeNYC
 
@nikebasketball
 
@NikeLA
 aware that we like my idea of a collaboration between me and them for a special ""BLACK Air-dition"". I must get paid obviously.",0
x_twitter,"mars 18, 2026","@Nike
 im buying Air Forces every month or 2 to stay fresh and have been for years.  Why is it this pair have fallen apart within 3-4 weeks?? Some cheap quality forces from JD Sports",0
x_twitter,"mars 18, 2026","ok thought I'd check in today 🤷🏾‍♂️😂 as today's #MarchMaxNess nod goessssss tooooo 
@nike
 
@nikestore
 
@NikeService
 #SNKRS #snkrsliveheatingup #snkrskickscheck",25
x_twitter,"mars 18, 2026","his is one of the best launch videos I've seen in the past few years... Well done, 
@Nike
, on the thought process and execution. 

Shoutout, 
@KingJames
, for letting your golf game, in its current state 😅, be used to promote this product. Nailed it.",4
x_twitter,"mars 18, 2026","DAY 18 OF #AirMaxMonth NIKE AIR MAX 90 VOLT 2020 these are my number 2 next to Infrareds the recraft are so dope imo I definitely want more in the collection… ⚡️⚡️⚡️
#MarchMAXness  
@nikestore
 
@Nike
 #airmax90s 
@hisexcellence79
 #KOTD #sneakers #snkrskickcheck #yoursnkrsaredope",33
x_twitter,"mars 18, 2026","@Nike
 can u make more size 12 shoes plz",0
x_twitter,"mars 18, 2026","If 
@Nike
 used the same material for the upper as the GT Cut 4 and GT Future for the KD 19, the shoe will be absolutely abysmal. It will be the end of the #KD line.
#sneakers #sneakerlife #sneakerhead #Nike #KD19",0
x_twitter,"mars 18, 2026","There are practically no society cleats in size 41/42 available for sale on the official website of 
@Nike
 
@nikefootball
—I just can't manage to buy a pair of cleats under $500 in size 41.",0
x_twitter,"mars 18, 2026","Is it really that hard to make a white t-shirt with gold accents that features details of Uruguayan culture?

With just a couple of prompts in ChatGPT, I came up with this—no need to overcomplicate it... We have to preserve the identity of the Orientals; we can't make such horrible t-shirts 
@nike
 
@AUFOficial",0
x_twitter,"mars 18, 2026","Another day of #MarchMaxness Air Max 1 Ugly Duckling Honeydew 
@hisexcellence79
 
@Nike",31
x_twitter,"mars 18, 2026","@Nike
 come on Nike! 95 Neons in size 🇬🇧 9UK sold out! I need them!",0
x_twitter,"mars 18, 2026","We are still waiting for 
@WNBA
 to congratulate Clark on her MVP award and congratulate Clark and Plum on making the all-star team
Still waiting on 
@espn
 to post about it at all!
Still waiting on 
@Nike
 to congratulate their athlete.  Petty and pride and doesn’t make money",1
x_twitter,"mars 18, 2026","@nike
 customized shoes take way longer than they should. Almost two months to make a shoe and ship it is wild",0
x_twitter,"mars 18, 2026","As a matter of fact 
@Nike
 a OREGON DUCK 🦆 YELLOW BASE WITH THE GREEN SWOOSH AND THE GREEN O ON THE SIDE NIKE MIND OO2 is a need 
@nike
 holla back at BIG AL",0
x_twitter,"mars 18, 2026","Nooo,, 
@Nike
 
@nikestore
 can we actually get the Pantone 12 release instead . These would be hard 🥶…& #nike while yall are at it bring the Pantone 7s back bcus I need a new pair 🤞🏾",3
x_twitter,"mars 18, 2026","£135 each! Fuck off 
@Nike
. DH gate will be hearing from me",0
x_twitter,"mars 18, 2026","JFC I hope 
@nike
 was well compensated for these clown shoes. Because they will never get another dime out of me. What’s next #KashPatel? A K$H branded Female Body Inspector t-shirt?",0
x_twitter,"mars 18, 2026","@Nike
 why can’t we get hold of you??????I’ve been trying to get hold of you since last week on 011 256 0701 to arrange for an exchange item. This is super annoying🤬",0
x_twitter,"mars 18, 2026","We get lots of Tn,s in ....but I'm particularly taken with this colour way that arrived this morning 
@Nike",0
x_twitter,"mars 18, 2026","The quality of clothing in #America from 
@Nike
 to 
@UnderArmour
 that’s just 2 of many name legitimate garbage. You spend $100 on a pair of leggings, or socks or pants and within a month & half have holes in them or fall apart. I believe it’s purposely being done for max profits",0
x_twitter,"mars 18, 2026","I received fake product from 
@AJIOLife
 . I ordered 
@ASICSRunningJP
 shoes and received a defective product with all the adhesive visible between shoe and sole. I personally feel the product finishing is not upto the mark and product is compromised.
@Nike
 
@adidas
 
@PUMA",0
x_twitter,"mars 18, 2026","Made these 
@Nike
 by you AF1 concepts the other day and two days later the Apple CEO caught wearing a “similar” pair of unreleased Travis Scott 1s.. 

coincidence ? 🤔",0
x_twitter,"mars 18, 2026","@Nike
 
@WBCBaseball
 WTH? 75$ for a cotton screen printed t-shirt that cost a dollar to make",0
x_twitter,"mars 18, 2026","I’m selling these men’s 
@Nike
 Blazers MID in size 8. Never worn.",0
x_twitter,"mars 18, 2026","Fox just zoomed in on the USA dugout. How cheap those jerseys look? 

Can’t blame those on 
@Fanatics
 that’s all 
@nike
 

Straight trash. Imagine paying $400 for junk?",0
x_twitter,"mars 18, 2026","since the KD 6s are being revived…these were my nikeID (now 
@nike
 by you) joints that went *viral* before it was cool

i felt so dope having a purpley blue iridescent upper, splatter midsole, & text that gave love to a late teammate 🥲 …i still have em to this day!",0
x_twitter,"mars 18, 2026","My 13s came & all I can say is great job 
@Nike
 on the QC …lately my pairs been looking type flawless …appreciate not having to exchange & rebuy due to not being pleased with glue marks , scuffs etc",0
x_twitter,"mars 18, 2026","It's the worst jersey in the history of Uruguay. But seriously the worst. 
@Nike",237
x_twitter,"mars 18, 2026","Day 17:

Some call it luck 🍀 , I am just grateful  that I’m blessed.

Thank you lord! Today you gave me every reminder that I’m serving your purpose.

@ANT_NYC1
 
@Nike
 
@nikestore
 

#AirMaxMonth #airmaxness",0
x_twitter,"mars 18, 2026","Hey 
@Nike
 here’s a start to reviving the energy…. Bring back your love and passion for days like air max day!!!! We used to look forward to it, showing off our heat, seeing activations, real energy around drops… infrared 90, silver bullet, OG 95, been done!  This ain’t it!",0
x_twitter,"mars 18, 2026","@StephenCurry30
 how do we convince 
@Nike
 to bring back their golf clubs and let you lead the comeback as the face of it? 

Make the campaign about the comeback. Feature former and current athletes across leagues who now dominate on the golf course.",0
x_twitter,"mars 18, 2026","Day 17 ☘️

Nike Air Max 95

Family Reunion Paris Atelier

Happy St. Patrick’s Day! I didn’t do any green today I’m Irish everyday all year. Please don’t drink & drive folks be safe!  
@nikestore
 
@Nike
 #MarchMaxness #NikeAirMax #AirMaxMonth 
@hisexcellence79",64
x_twitter,"mars 18, 2026","Dang that was quick 
@Nike
 This sneaker has so many details! From the quote on the box to the rose paper, the texture of the sneakers, and the thorns, it’s all so captivating. My favorite detail, though, is the rose petals on the tongue of the sneaker. Thanks 
@TEYANATAYLOR",17
x_twitter,"mars 18, 2026","Nike Air Force 1 Low “Triple Black Patent” — Summer 2026.

All-black everything… but make it glossy. 🖤
📸 
@nike",1
x_twitter,"mars 18, 2026","WTF 
@Nike
 I spent good money ordering your Jordan 13s...had a delivery date....then all the sudden the item is out of stock???? This is trash!!!",0
x_twitter,"mars 18, 2026","Need these new Volt Powerbeats to complement the Pegasus and Apple watch for a comfy airport fit! 
@Nike
 
@nikestore",0
x_twitter,"mars 17, 2026","@Nike
 
@nikestore
  needs to stop using 
@OnTrac_Shipping
 100%. They’ve had my package in possession for 4 days now with no attempts to deliver. Had to contact 
@nike
 to have the item reordered at no charge to be delivered via 
@UPS
 a reliable service 💯",2
x_twitter,"mars 17, 2026","I got 4 logos only for the Touaine angel part of the label, means lots of variety and its entertaining for the customer 
@Nike
 
@50cent",0
x_twitter,"mars 17, 2026","Really? 
@Nike
 you let me purchase the USMNT home jersey then proceed to cancel the order? Wtf?",29
x_twitter,"mars 17, 2026","Another pair from the closet . Rocking the coming to America freak 1. When you think of garbage… think of Akeem! #wdywt #kotd #giannis1 #freak1 #mcdowells #nike #nikebasketball 
@Nike
 
@nikebasketball
 
@Giannis_An34",14
x_twitter,"mars 17, 2026","Just watched the new 
@beatsbydre
 x 
@Nike
 Lebron James / Tom Kim golf commercial. QQ: Should 
@Apple
 just buy Nike already and give us Apple designed shoes and spikes??? 
@markgurman
, will this be happening?",1
x_twitter,"mars 17, 2026","I whish you wasn't so busy beefin even if looks easy to you....
@50cent
 when you have soem time call 
@Nike
 for evolution of brand",0
x_twitter,"mars 17, 2026","One of the few green shoes I own so it was only right to bring them out for St Patrick’s Day. Air Max 1 Yeezy #MarchMaxness 
@hisexcellence79
 
@Nike",0
x_twitter,"mars 17, 2026","Hey 
@nikestore
 
@Nike
 — Air Forces I bought for my kids ripped at the front within 4 months. Warranty claim was denied as “normal wear and tear.”

This shouldn’t happen this quickly. Can someone review this properly? Very disappointing",0
x_twitter,"mars 17, 2026","I love the “Stripes”!🇺🇸, “Stars” are KRAP!!  
@Nike
 gotta rethink this product… it’s garbage!… I ain’t buyin it!!!  It doesn’t SAY… UNITED STATES! 🇺🇸 
@Addias
 
@UnderArmour
 
@ChampionUSA
 
🤨😡",0
x_twitter,"mars 17, 2026","🫶🏼 honoured but I do want you 
@Nike
 go for fair trade and no child workers. It is not about profit only but the bigger social impact all over the world. Go green! 💚",0
x_twitter,"mars 17, 2026","@Nike
 I know issues of getting the mold and the cost to make them now but plllleeeease can we can a retro. I really need that silver pair. Always wanted and couldn’t get it from last release. Pretty please! 🙏🏾 😁",0
