customer_name,customer_profile,thumbnail,rating,review_title,date,review_snippet
Vibapmo,/gp/profile/amzn1.account.AEL3SZZ6OAIIKLWNBDKYQTQRKQ3Q,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsLove them,"Reviewed in the United States on October 31, 2025",Very cool sneakers
duckduck,/gp/profile/amzn1.account.AFQMCNMMH4NVGH57AKR5YDUCMAYA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsGreat colors,"Reviewed in the United States on October 4, 2025",Got these cause the colors and wanted some old school type adidas. Fit good and look good ï¿½ï
Yoel Almeida Hernandez,/gp/profile/amzn1.account.AGCR2U5RGQYAJZHKZK2ABUE3GLQA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsQuality,"Reviewed in the United States on March 10, 2026",My son loved the shoes
Josï¿½ï¿½ Camargo n,/gp/profile/amzn1.account.AE5UQKGG245HGI2EQMY7HHBY7L6Q,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsBuenos,"Reviewed in the United States on February 23, 2026",Estï¿½ï¿½n muy bu
Yanelys Ortiz,/gp/profile/amzn1.account.AGQTDQSAVWHCBVYOXF2ET4WW3XAQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsExcelente,"Reviewed in the United States on January 13, 2026",Estï¿½ï¿½n muy bonitos acorde con la t
Ibn Suliman II,/gp/profile/amzn1.account.AHFLVVR7KLCOJ74QTEBDITJ6XJIA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsGreat shoes!,"Reviewed in the United States on July 17, 2025",Fits and is as described. Great value for the price!
Jennifer Anderson,/gp/profile/amzn1.account.AGMOLFHFCDR2JCP2AHLNNOBGTQYQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 stars15 year old fashion,"Reviewed in the United States on September 9, 2025",Itï¿½ï¿½ï¿½s what she wanted and it goes well with many outfits. Said they are comfor
BigTw3lv3CEO,/gp/profile/amzn1.account.AHQH24ZMKFFSGMW5TEMRQMBJ52HA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,1.0 out of 5 stars,1.0 out of 5 starsSized wrong,"Reviewed in the United States on January 29, 2026",The size is off this shoe is big asfï¿½ï¿½ï¿
Pernilla,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,Skor,"Reviewed in Sweden on May 26, 2025","Skona var bra, men lite fï¿½ï¿½rst"
luna 1960,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,Wow,"Reviewed in Germany on June 10, 2024",Sehr gute Verarbeitung. Original treu .Tolle Farbe wie auf den Bildern im Netz.Grï¿½ï¿½ï¿½ï¿½e passt genau und sehr bequem.Empfehle ich zu 100 
Stefania Mainardi,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,Ottima,"Reviewed in Italy on October 19, 2023",Prodotto conforme a quanto ordinato arrivato in brevissimo tempo
Cristiana,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,BELLE,"Reviewed in Italy on November 11, 2024",SODDISFATTA
Justin Pereira,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,"Bonitos, diseï¿½ï¿½o clï¿","Reviewed in Spain on June 15, 2024","Me han gustado, de momento todo bien."
