customer_name,customer_profile,thumbnail,rating,review_title,date,review_snippet
Muhammed Baldeh,/gp/profile/amzn1.account.AHZURAM3V7YP4DTOR5LK6K2WTCWQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsAir Force 1,"Reviewed in the United States on January 7, 2026","Good quality, fit perfectly, very comfortable, and value for the price."
Victor,/gp/profile/amzn1.account.AGUJOTJKRFM4OVXX5BGGO4AXSAOA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsI love this product,"Reviewed in the United States on February 27, 2026",I love this product is a good product
David Iuga,/gp/profile/amzn1.account.AHAP7NSP5VXWM5CXZCM3FADOJ2JQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsClean and comfortable,"Reviewed in the United States on January 21, 2026",Great shoes for the price. I don���t think I���ll buy another pair. It���s been about two or three years now in my pair is 
StayActive10 ,/gp/profile/amzn1.account.AE3C2XWWZ3NHZE37HZXLGDJPEHUA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsIFKUK,"Reviewed in the United States on January 7, 2026",Exceptionally Great product! 5��� Thank you! We'll wor
Baby daddy,/gp/profile/amzn1.account.AEWJIP7NHKIEIAIVPFL2FVLIAHFQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsGreat shoes,"Reviewed in the United States on January 13, 2026",Great product
Amazon Customer,/gp/profile/amzn1.account.AGYIIAZXFMTQKYAT7CNKFE77PQ4Q,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,4.0 out of 5 stars,4.0 out of 5 starsNike Original pero no parece cuero,"Reviewed in the United States on February 26, 2026",Nike air force
Tyson,/gp/profile/amzn1.account.AER4DQZ4RAGZAOQDIWFQJ6IXR2HQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsGood buy,"Reviewed in the United States on December 9, 2025","Bought for my brother as a christmas present, size fits like it should."
Love my designer ,/gp/profile/amzn1.account.AFCJZ3A74AX35YOC7HKUUL6K6QEQ,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,5.0 out of 5 starsThe tracking right,"Reviewed in the United States on August 7, 2025","A lil pricey for af1, but 9.5 a hard size 300 bux was steep but I love af1 tho and I just ordered the navy blue n white s with gum bottoms I got panda af1 same design as those and the maroon n white 1s with gum bottoms ur shoes are gr8 just pricey I remember payin no more than 100 a pair any color way at foot action 25 yrs ago."
Andrew wood,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,The real McCoy,"Reviewed in Canada on October 17, 2021",Real deal. Nice shoes
Valeria,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,Bellissime,"Reviewed in Italy on June 4, 2024",Arrivano a casa in poco tempo.. meno di quello scritto..
Gruu,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,Excelente,"Reviewed in Mexico on June 30, 2024",Buen producto
Vera,NA,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,5.0 out of 5 stars,10,"Reviewed in the Netherlands on October 4, 2024",Perfect size my son loves it
